Sample,Group
GSM3998168,High
GSM3998170,High
GSM3998171,High
GSM3998176,High
GSM3998178,High
GSM3998179,High
GSM3998180,High
GSM3998181,High
GSM3998182,High
GSM3998183,High
GSM3998184,High
GSM3998185,High
GSM3998186,High
GSM3998187,High
GSM3998188,High
GSM3998189,High
GSM3998190,High
GSM3998191,High
GSM3998193,High
GSM3998194,High
GSM3998195,High
GSM3998196,High
GSM3998199,High
GSM3998200,High
GSM3998201,High
GSM3998202,High
GSM3998203,High
GSM3998204,High
GSM3998205,High
GSM3998206,High
GSM3998207,High
GSM3998208,High
GSM3998209,High
GSM3998210,High
GSM3998211,High
GSM3998212,High
GSM3998213,High
GSM3998214,High
GSM3998215,High
GSM3998226,High
GSM3998227,High
GSM3998228,High
GSM3998229,High
GSM3998230,High
GSM3998231,High
GSM3998233,High
GSM3998234,High
GSM3998235,High
GSM3998236,High
GSM3998237,High
GSM3998238,High
GSM3998239,High
GSM3998240,High
GSM3998241,High
GSM3998242,High
GSM3998243,High
GSM3998244,High
GSM3998245,High
GSM3998246,High
GSM3998247,High
GSM3998248,High
GSM3998250,High
GSM3998252,High
GSM3998253,High
GSM3998254,High
GSM3998255,High
GSM3998256,High
GSM3998257,High
GSM3998259,High
GSM3998260,High
GSM3998261,High
9883006_GS,Normal
9883007_GS,Normal
9883009_GS,Normal
9883010_GS,Normal
9883011_GS,Normal
9883012_GS,Normal
9883013_GS,Normal
